Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6M12,2012-04-11,1.5858,1.5933,1.5845,1.5896,0.0043,+0.27%,100635,148477
B6M12,2012-04-12,1.5907,1.5979,1.5896,1.5965,0.0069,+0.43%,85738,151031
B6M12,2012-04-13,1.5949,1.5965,1.5834,1.5846,-0.0119,-0.75%,100143,151896
B6M12,2012-04-16,1.5859,1.5906,1.5813,1.5898,0.0052,+0.33%,108129,156860
B6M12,2012-04-17,1.5893,1.5969,1.5857,1.5943,0.0045,+0.28%,103820,157015
B6M12,2012-04-18,1.5919,1.6037,1.5889,1.6023,0.008,+0.50%,161412,160002
B6M12,2012-04-19,1.6012,1.6072,1.6003,1.6051,0.0028,+0.17%,123577,159554
B6M12,2012-04-20,1.6046,1.6146,1.6032,1.6103,0.0052,+0.32%,115023,167549
B6M12,2012-04-23,1.6117,1.6131,1.6071,1.6119,0.0016,+0.10%,96025,171302
B6M12,2012-04-24,1.6122,1.6158,1.6104,1.6131,0.0012,+0.07%,89174,173368
B6M12,2012-04-25,1.6139,1.62,1.6077,1.6175,0.0044,+0.27%,127871,178763
B6M12,2012-04-26,1.6165,1.6202,1.6154,1.6192,0.0017,+0.11%,96661,181564
B6M12,2012-04-27,1.6176,1.6276,1.6149,1.6264,0.0072,+0.44%,107160,187658
B6M12,2012-04-30,1.6266,1.6298,1.6217,1.6229,-0.0035,-0.22%,103223,190363
B6M12,2012-05-01,1.6232,1.6244,1.6182,1.6216,-0.0013,-0.08%,72850,187746
B6M12,2012-05-02,1.6217,1.6235,1.6157,1.6193,-0.0023,-0.14%,102266,191033
B6M12,2012-05-03,1.6195,1.6212,1.6155,1.6178,-0.0015,-0.09%,88418,193978
B6M12,2012-05-04,1.6176,1.6198,1.6137,1.6141,-0.0037,-0.23%,99478,197605
B6M12,2012-05-07,1.615,1.6193,1.611,1.6179,0.0038,+0.24%,79555,205608
B6M12,2012-05-08,1.6188,1.6195,1.6118,1.6161,-0.0018,-0.11%,102140,199801
B6M12,2012-05-09,1.6153,1.6161,1.6062,1.614,-0.0021,-0.13%,126809,198710
B6M12,2012-05-10,1.6132,1.618,1.6089,1.6151,0.0011,+0.07%,120316,206902
B6M12,2012-05-11,1.6131,1.614,1.6057,1.6067,-0.0084,-0.52%,103382,200632
B6M12,2012-05-14,1.6066,1.6121,1.6047,1.6101,0.0034,+0.21%,111980,207424
B6M12,2012-05-15,1.6095,1.6111,1.5986,1.6,-0.0101,-0.63%,112179,199637
B6M12,2012-05-16,1.5995,1.6,1.5884,1.5911,-0.0089,-0.56%,157397,192142
B6M12,2012-05-17,1.591,1.5931,1.5761,1.5814,-0.0097,-0.61%,156709,187762
B6M12,2012-05-18,1.5781,1.5835,1.573,1.5801,-0.0013,-0.08%,131111,184723
B6M12,2012-05-21,1.5809,1.584,1.5777,1.5804,0.0003,+0.02%,101216,184993
B6M12,2012-05-22,1.5823,1.5847,1.5739,1.5773,-0.0031,-0.20%,106492,184497
B6M12,2012-05-23,1.5762,1.5773,1.5666,1.5687,-0.0086,-0.55%,138629,183032
B6M12,2012-05-24,1.5691,1.5725,1.5637,1.5649,-0.0038,-0.24%,113117,182381
B6M12,2012-05-25,1.5667,1.5698,1.5627,1.5642,-0.0007,-0.04%,90672,182401
B6M12,2012-05-29,1.5681,1.5715,1.5606,1.5633,-0.0009,-0.06%,129634,181435
B6M12,2012-05-30,1.5636,1.5637,1.5473,1.5484,-0.0149,-0.95%,114234,178952
B6M12,2012-05-31,1.5481,1.5524,1.5358,1.5411,-0.0073,-0.47%,152148,179096
B6M12,2012-06-01,1.5404,1.5434,1.5267,1.5372,-0.0039,-0.25%,181601,184474
B6M12,2012-06-04,1.5368,1.5415,1.5341,1.5382,0.001,+0.07%,65823,182261
